ManifestID,ShipName,Port,Arrival
1,MASSILIA,MARSEILLES & NAPLES,04/04/1894
4,ITALIA,NAPLES,04/07/1894
6,TEUTONIC,LIVERPOOL & QUEENSTOWN,04/15/1897
8,BRITANNIA,MARSEILLES & NAPLES,02/24/1890
11,CASTALIA,HAVRE,11/08/1880
14,BRITANNIA,NAPLES,04/23/1883
15,PLATA,PALERMO,01/02/1892
16,UMBRIA,LIVERPOOL,07/01/1889
20,ALSATIA,"GIBRALTAR, NAPLES & PALERMO",06/03/1891
21,GOTTARDO,NAPLES,05/29/1884
24,ALSATIA,NAPLES,03/08/1893
25,BURGUNDIA,NAPLES,01/25/1894
26,PLATA,PALERMO,10/16/1891
29,CITY OF BERLIN,LIVERPOOL & QUEENSTOWN,02/08/1890
30,UMBRIA,LIVERPOOL,08/26/1889
31,CHATEAU YQUEM,NAPLES,03/26/1896
32,BIRMANIA,MEDITERRANEAN PORTS,09/30/1891
33,TRINACRIA,NAPLES,07/30/1892
37,OLYMPIA,NAPLES,01/06/1887
40,FULDA,GENOA & GIBRALTAR,05/16/1892
41,KARAMANIA,NAPLES,11/29/1890
42,ENTELLA,PALERMO,02/23/1891
43,SCOTIA,NAPLES,11/01/1895
44,FERDINAND DE LESSEPS,"CADIZ, MALAGA,  MARSEILLES, NAPLES & PALERMO",02/15/1882
45,GIAVA,NAPLES & PALERMO,04/16/1891
46,BURGUNDIA,MARSEILLES & NAPLES,08/06/1890
48,ELYSIA,NAPLES,04/10/1894
54,GELLERT,GENOA & NAPLES,02/08/1894
56,ETRURIA,LIVERPOOL & QUEENSTOWN,11/03/1890
61,NORMANNIA,GENOA & NAPLES,01/16/1894
63,ALESIA,MESSINA & NAPLES,04/25/1885
64,ENTELLA,PALERMO,03/22/1889
65,NEDERLAND,ANTWERP,03/08/1887
78,ALESIA,NAPLES,05/24/1884
84,UTOPIA,"BARI, FIUME, NAPLES, PALERMO & TRIESTE",09/06/1889
85,LETIMBRO,PALERMO,09/12/1888
101,ROSINA,LEGHORN,06/01/1880
102,EUGENIA SONGO,NAPLES,06/05/1880
106,GIAVA,NAPLES,06/09/1890
108,LETIMBRO,PALERMO,12/03/1888
130,OLYMPIA,NAPLES,05/08/1890
133,RUGIA,HAMBURG & HAVRE,05/04/1891
148,BOLIVIA,NAPLES,05/22/1890
185,NEW YORK,SOUTHAMPTON,03/02/1896
199,TEUTONIC,LIVERPOOL & QUEENSTOWN,03/01/1894
201,BRITANNIA,MARSEILLES & NAPLES,08/26/1890
210,GALLIA,LIVERPOOL & QUEENSTOWN,12/27/1887
215,PICARDIE,MARSEILLES & NAPLES,07/26/1882
221,SWITZERLAND,ANTWERP,01/23/1880
222,HESPERIA,"NAPLES, PALERMO & TRIESTE",09/07/1891
226,ORSOLA,LISBON,03/08/1882
227,DEVONIA,GLASGOW & MOVILLE,02/12/1880
230,CALEDONIA,NAPLES,02/27/1882
233,VICTORIA,"BARI, FIUME, NAPLES, PALERMO & TRIESTE",08/25/1890
234,UMBRIA,LIVERPOOL,12/16/1889
235,NEUSTRIA,MARSEILLES & NAPLES,07/24/1895
236,VINCENZO FLORIO,PALERMO,10/08/1881
237,LA GASCOGNE,HAVRE,03/18/1895
239,ALESIA,MARSEILLES & NAPLES,05/07/1890
240,CHATEAU LAFITE,BORDEAUX,05/28/1889
242,CACHEMIRE,NAPLES,04/18/1890
243,LA GASCOGNE,HAVRE,10/09/1893
246,LABRADOR,HAVRE,06/30/1881
248,PATRIA,MARSEILLES & NAPLES,12/21/1895
249,BURGUNDIA,MARSEILLES & NAPLES,06/10/1890
251,BURGUNDIA,NAPLES & PALERMO,06/11/1883
271,RUGIA,HAMBURG,12/02/1889
294,ITALY,LIVERPOOL,06/08/1891
319,BURGUNDIA,NAPLES,06/03/1891
321,BRITANNIA,NAPLES,11/17/1884
322,PICTAVIA,NAPLES,04/21/1890
356,BRITANNIA,MARSEILLES & NAPLES,12/23/1889
369,BRITANNIA,MESSINA & NAPLES,03/28/1885
375,PATRIA,MARSEILLES & NAPLES,03/09/1896
380,ALESIA,NAPLES,04/13/1896
403,SAINT LAURENT,LIVERPOOL & QUEENSTOWN,08/05/1880
436,ENTELLA,NAPLES,05/28/1892
437,SAINT LAURENT,HAVRE,04/16/1880
447,NEUSTRIA,MARSEILLES & NAPLES,05/12/1892
448,WASHINGTON,PALERMO,04/15/1882
452,INIZIATIVA,NAPLES,07/13/1891
459,LA BRETAGNE,HAVRE,06/13/1892
462,VINCENZO FLORIO,PALERMO,08/20/1880
464,NUOVO MONDO,LEGHORN,09/10/1880
465,WASHINGTON,PALERMO,09/04/1880
467,BEDFORD,PALERMO,08/05/1880
468,EGADI,PALERMO,08/07/1880
476,MONTEBELLO,PALERMO,11/22/1895
478,INIZIATIVA,PALERMO,12/12/1892
480,NO RECORD OF SHIP,HAVRE,11/06/1882
499,BOLIVIA,NAPLES & TRIESTE,04/03/1888
500,VICTORIA,NAPLES & PALERMO,09/30/1889
505,CITY OF BERLIN,LIVERPOOL & QUEENSTOWN,06/13/1891
516,PENNLAND,ANTWERP,11/03/1887
570,LA NORMANDIE,HAVRE,03/12/1895
575,NO RECORD OF SHIP,GLASGOW & LARNE,01/03/1881
583,FRANCE,HAVRE,12/31/1880
585,TEUTONIC,LIVERPOOL & QUEENSTOWN,07/22/1891
608,ITALIA,NAPLES,03/30/1895
611,VICTORIA,NAPLES & PALERMO,04/08/1892
613,CHANDERNAGOR,NAPLES,12/14/1893
614,FERDINAND DE LESSEPS,MARSEILLES,07/14/1881
621,CANADA,HAVRE,09/01/1880
622,ALSATIA,"BARI, FIUME, NAPLES, PALERMO & TRIESTE",05/13/1892
623,STURA,NAPLES,05/09/1892
624,NEUSTRIA,NAPLES,03/25/1895
629,BRITANNIA,MARSEILLES & NAPLES,06/13/1895
631,ALESIA,MARSEILLES & NAPLES,06/28/1895
633,ALESIA,NAPLES,09/02/1889
634,ALESIA,NAPLES,03/02/1895
638,POLARIA,STETTIN,11/23/1891
640,BELGRAVIA,NAPLES,04/28/1894
642,CALIFORNIA,HAMBURG,11/28/1891
643,SORRENTO,HAMBURG,09/05/1891
649,CALDERA,ESCALES & MARSEILLES,09/07/1882
651,MORAVIA,HAMBURG & HAVRE,07/15/1889
652,CALIFORNIA,GIBRALTAR & NAPLES,03/12/1894
653,VIRGINIA,HAMBURG,01/20/1892
654,LETIMBRO,NAPLES,04/28/1894
655,SUEVIA,HAMBURG & HAVRE,11/23/1891
656,BRITANNIC,LIVERPOOL & QUEENSTOWN,06/05/1891
657,GELLERT,GENOA & NAPLES,12/16/1893
659,BRITANNIA,MARSEILLES & NAPLES,04/20/1894
666,SCANDIA,HAMBURG & HAVRE,11/28/1891
667,RHAETIA,HAMBURG & HAVRE,07/07/1890
670,WIELAND,HAMBURG & HAVRE,08/31/1889
673,GERGOVIA,MARSEILLES & NAPLES,07/11/1894
675,DONAU,BREMEN,07/03/1880
677,SUEVIA,HAMBURG & HAVRE,05/26/1890
678,WERRA,GENOA,08/22/1892
692,KAISER WILHELM II,GENOA & GIBRALTAR,12/12/1892
693,FURST BISMARCK,HAMBURG & SOUTHAMPTON,11/28/1891
695,ETRURIA,LIVERPOOL & QUEENSTOWN,04/18/1892
699,TRINACRIA,MESSINA & NAPLES,04/20/1892
707,GELLERT,HAMBURG & HAVRE,06/23/1890
708,CHERIBON,NAPLES,08/01/1892
712,FULDA,GENOA & GIBRALTAR,08/01/1892
713,FULDA,GENOA & GIBRALTAR,03/07/1892
722,VICTORIA,NAPLES,08/13/1892
723,FULDA,GENOA & GIBRALTAR,02/01/1892
724,PLATA,NAPLES,05/19/1894
729,HINDOUSTAN,NAPLES,05/15/1894
730,FULDA,GENOA & GIBRALTAR,04/11/1892
731,VIRGINIA,HAMBURG,11/24/1891
732,WYOMING,LIVERPOOL & QUEENSTOWN,09/26/1892
734,FULDA,GENOA & GIBRALTAR,12/28/1892
739,RHAETIA,HAMBURG & HAVRE,06/02/1890
746,SORRENTO,HAMBURG,07/11/1891
748,BURGUNDIA,NAPLES,02/19/1892
755,RHAETIA,HAMBURG & HAVRE,03/02/1891
757,FULDA,GENOA & GIBRALTAR,09/07/1892
759,NORMANNIA,HAMBURG,10/19/1891
761,RUSSIA,HAMBURG,05/11/1892
763,ALESIA,NAPLES,11/06/1889
766,ALBINGIA,HAMBURG,07/29/1892
781,MASSILIA,NAPLES,05/25/1896
886,CACHEMIRE,NAPLES,10/09/1891
896,COMORIN,NAPLES,04/04/1888
961,STEINHOEFT,HAMBURG,07/16/1892
969,VICTORIA,NAPLES,07/05/1894
994,INDIPENDENTE,PALERMO,09/22/1884
999,NEUSTRIA,MARSEILLES & NAPLES,07/25/1894
1002,ELYSIA,NAPLES,07/27/1894
1119,ZAANDAM,AMSTERDAM,07/18/1892
1134,INDIA,NAPLES,02/14/1882
2267,IRENE MORRIS,PALERMO,02/09/1880
3008,INDIA,NAPLES,06/06/1892
3070,CHERIBON,MARSEILLES & NAPLES,09/14/1891
2525,ALESIA,NAPLES,10/14/1890
2675,SCOTIA,NAPLES,08/08/1884
2772,ALESIA,NAPLES,03/06/1890
6382,VIKING,ANTWERP,04/06/1880
8362,MARGARET EVANS,LONDON,01/03/1855
8363,ROBERT,HAMBURG,01/03/1855
8364,HIRAM,BREMEN,01/04/1855
8365,CORINTHIAN,HAVRE,01/06/1855
8366,GENERAL JACOB,BREMEN,01/09/1855
8367,SOUTHAMPTON,LONDON,01/09/1855
8368,SEA LARK,ANTWERP,01/10/1855
8369,ABBY LANGDON,HAVRE,01/11/1855
8370,EAGLE,HAVRE,01/11/1855
8371,LIVERPOOL,LIVERPOOL,01/11/1855
8372,MARY ADELIA,HAVRE,01/11/1855
8373,ALLEGANEAN,HAVRE,01/16/1855
8374,MERCURY,HAVRE,01/27/1855
8375,KOSMOS,BREMEN,01/29/1855
8376,DELAFIELD,PORT AU PRINCE,01/30/1855
8377,ARNOLD BONINGER,ROTTERDAM,01/31/1855
8378,CHARLES CROCKER,HAVRE,02/02/1855
8379,HAVRE,HAVRE,02/05/1855
8380,JOHN H RYERSON,ANTWERP,02/12/1855
8381,OLIVIA,HAVRE,02/12/1855
8382,SAINT BERNHARD,HAVRE,02/12/1855
8383,NEW YORK,HAVRE,02/13/1855
8384,COPERNICUS,HAMBURG,02/13/1855
8385,SAINT PAUL,HAVRE,02/14/1855
8386,ANNA F SCHMIDT,ANTWERP,02/14/1855
8387,OPHIR,HAVRE,02/16/1855
8388,HAMPTON,ANTWERP,03/09/1855
8389,FRANCIS B. CUTTING,ANTWERP,03/11/1855
8390,RUSSELL,HAVRE,03/17/1855
8391,ADELAIDE METCALF,HAVRE,03/28/1855
8392,ZURICH,HAVRE,01/26/1855
8393,WASHINGTON,BREMEN & SOUTHAMPTON,04/13/1855
8394,DENIS,HAVRE,04/10/1855
8395,F.A. PALMER,HAVRE,04/17/1855
8396,NEW YORK,HAVRE,04/17/1855
8397,MARY OGDEN,HAVRE,04/20/1855
8398,HELEN A MILLER,HAVRE,04/20/1855
8399,CONFEDERATION,HAVRE,04/23/1855
8400,SAMUEL M  FOX,HAVRE,04/23/1855
8401,BAVARIA,HAVRE,04/23/1855
8402,DAVID HOADLEY,ANTWERP,04/24/1855
8403,WIELAND,BREMEN,04/25/1855
8404,NORTH WIND,HAVRE,04/26/1855
8405,A. B. PRESTON,MATANZAS,04/28/1855
8406,ORPHEUS,BREMEN,05/03/1855
8407,ADMIRAL,HAVRE,05/07/1855
8408,SPLENDID,HAVRE,05/07/1855
8409,CORIOLAN,BREMEN,05/07/1855
8410,ELBE,HAMBURG,05/08/1855
8411,STEDINGER,BREMEN,05/08/1855
8412,TRUMBULL,UNKNOWN,05/08/1855
8413,SAINT NICOLAS,HAVRE,05/08/1855
8414,GUTENBERG,HAMBURG,05/10/1855
8415,HERMANN,BREMEN & SOUTHAMPTON,05/10/1855
8416,CAROLUS MAGNUS,HAVRE,05/10/1855
8417,AGNES,BREMEN,05/11/1855
8418,DEUTSCHLAND,HAMBURG,05/11/1855
8419,ROBERT M SLOMAN,ANTWERP,05/12/1855
8421,FANNY,ANTWERP,05/15/1855
8422,CEDAR,BREMEN,06/01/1855
8423,UNION,BREMEN,06/01/1855
8424,MINERVA L. WEDMORE,MATANZAS,06/04/1855
8425,COLUMBIA,BREMEN,06/04/1855
8426,SWITZERLAND,HAVRE,06/07/1855
8427,WASHINGTON,BREMEN & SOUTHAMPTON,06/07/1855
8428,SEA LARK,ANTWERP,06/08/1855
8429,STANISLAUS,ANTWERP,06/16/1855
8430,LANDWURDEN,BREMEN,06/18/1855
8431,ELISE RUEBCKE,HAMBURG,06/18/1855
8432,HELEN R COOPER,ANTWERP,06/18/1855
8433,RHEIN,HAMBURG,06/19/1855
8434,HELVETIA,HAVRE,06/20/1855
8435,HANCOCK,HAVRE,06/20/1855
8436,HUDSON,BREMEN,06/20/1855
8437,HEIDELBERG,HAVRE,06/22/1855
8438,COPERNICUS,HAMBURG,06/23/1855
8439,GEORGE HURLBUT,ANTWERP,06/25/1855
8440,HENRY REED,ANTWERP,06/26/1855
8441,JUNO,BREMEN,06/26/1855
8442,D H WAETJEN,BREMEN,06/26/1855
8443,WILLIAM TELL,HAVRE,06/30/1855
8444,DONAU,HAMBURG,06/30/1855
8445,ELISE,BREMEN,07/05/1855
8446,NEBRASKA,BREMEN,07/07/1855
8447,HAVRE,HAVRE,07/09/1855
8448,ROBERT KELLY,HAVRE,07/09/1855
8449,HELIOS,BREMEN,07/10/1855
8450,JOHANN,BREMEN,07/10/1855
8451,EVERHARD DELIUS,BREMEN,07/10/1855
8452,ERNST MORITZ ARNDT,BREMEN,07/10/1855
8453,ROBERT L. LANE,HAVRE,07/12/1855
8454,ANDREW,HAMBURG,07/16/1855
8455,WILLIAM F SCHMIDT,ANTWERP,07/23/1855
8456,WESTPHALIA,BREMEN,07/23/1855
8457,ZURICH,HAVRE,07/23/1855
8458,RICHARD COBDEN,BREMEN,07/24/1855
8460,THERESE,BREMEN,07/26/1855
8461,C.J. BORGSTEDT,BREMEN,07/27/1855
8462,HERSCHEL,HAMBURG,07/27/1855
8463,PANAMA,HAMBURG,07/26/1855
8464,JEVERLAND,BREMEN,07/30/1855
8465,RUDOLPH,HAMBURG,07/30/1855
8466,LOUIS NAPOLEON,HAMBURG,07/30/1855
8467,HOWARD,HAMBURG,07/31/1855
8468,OLBERS,BREMEN,08/02/1855
8469,WASHINGTON,BREMEN & SOUTHAMPTON,08/02/1855
8470,MARY,HAVRE,08/03/1855
8471,BLANCHARD,SAGUA LA GRANDE,08/06/1855
8472,JOHANNA,BREMEN,08/07/1855
8473,SAINT LOUIS,HAVRE,08/09/1855
8474,FIDES,ANTWERP,08/17/1855
8475,NEW YORK,HAVRE,08/20/1855
8477,PRESIDENT SMIDT,BREMEN,08/24/1855
8478,GENESEE,HAMBURG,08/25/1855
8479,EMILIE,BREMEN,08/27/1855
8480,HERMINE,BREMEN,08/27/1855
8481,IFFLAND,BREMEN,08/29/1855
8482,BAVARIA,HAVRE,08/29/1855
8483,META,BREMEN,08/31/1855
8484,GEORGE WILLIAM,BREMEN,09/01/1855
8485,ORPHEUS,BREMEN,09/01/1855
8486,NICHOLAS,HAVRE,09/03/1855
8487,OREGON,HAVRE,09/05/1855
8488,ELIDA,HAMBURG,09/07/1855
8489,FLASH,VERA CRUZ,09/10/1855
8490,ARIEL,HAVRE,09/14/1855
8491,SIR ROBERT PEEL,HAMBURG,09/14/1855
8492,SPLENDID,HAVRE,09/14/1855
8493,OCEANUS,CIUDAD BOLIVAR,09/15/1855
8494,CATHARINE,HAVRE,09/15/1855
8495,MORTIMER LIVINGSTON,HAVRE,09/15/1855
8496,REBECCA,BREMEN,09/18/1855
8497,CORIOLAN,BREMEN,09/20/1855
8498,ADMIRAL,HAVRE,09/20/1855
8499,ATLANTIC,BREMEN,09/21/1855
8500,HUMBOLDT,HAMBURG,09/22/1855
8501,CONNECTICUT,HAVRE,09/24/1855
8502,MERCURY,HAVRE,09/24/1855
8503,REPUBLIC,BREMEN,09/25/1855
8504,MARY OGDEN,HAVRE,09/27/1855
8505,ODER,HAMBURG,10/02/1855
8506,ANNA,BREMEN,10/04/1855
8507,AGNES,BREMEN,10/09/1855
8508,RHEIN,HAMBURG,10/09/1855
8509,CAROLINE,BREMEN,10/11/1855
8510,UNION,BREMEN,10/11/1855
8511,GERMANIA,HAVRE,10/12/1855
8512,COPERNICUS,HAMBURG,10/15/1855
8513,HELVETIA,HAVRE,10/17/1855
8514,EMIGRANT,BREMEN,10/18/1855
8515,ELISE RUEBCKE,HAMBURG,10/18/1855
8516,BLUCHER,BREMEN,10/19/1855
8517,ADONIS,BREMEN,10/19/1855
8518,AHLERS,BREMEN,10/22/1855
8519,NORD AMERICA,HAMBURG,10/23/1855
8520,LOCHINVAR,ANTWERP,10/23/1855
8521,HUDSON,BREMEN,10/23/1855
8522,ELISE,BREMEN,10/24/1855
8523,WILLIAM TELL,HAVRE,10/25/1855
8524,HERMANN,BREMEN & SOUTHAMPTON,10/27/1855
8525,WASHINGTON,HAMBURG,10/29/1855
8526,ANITA,CAMPECHE,10/30/1855
8527,DONAU,HAMBURG,11/05/1855
8528,JULIA,BREMEN,11/05/1855
8529,ELIZABETH DENISON,ROTTERDAM,11/08/1855
8530,HAVRE,HAVRE,11/10/1855
8531,VENICE,HAVRE,11/12/1855
8532,REPUBLIC,HAVRE,11/12/1855
8533,OLDENBURG,BREMEN,11/16/1855
8534,KOSMOS,BREMEN,11/21/1855
8535,RESTAURADOR,PUERTO RICO & ST. THOMAS,11/22/1855
8536,DENIS,HAVRE,11/22/1855
8537,LOUISIANA,BREMEN,11/26/1855
8538,WASHINGTON,BREMEN,11/28/1855
8539,HAVANA,HAMBURG,12/01/1855
8540,RUDOLPH,HAMBURG,12/10/1855
8541,AGATHE,CIUDAD BOLIVAR,12/14/1855
8542,ARISTIDES,BREMEN,12/15/1855
8543,BAVARIA,HAVRE,12/19/1855
8544,LOUIS NAPOLEON,HAMBURG,12/21/1855
8545,LIZZIE HOWARD,HAVRE,12/21/1855
8546,CATHERINE,ANTWERP,12/22/1855
8547,ELBE,HAMBURG,12/22/1855
8548,JOHANN,BREMEN,12/22/1855
8549,EMMA ANNA,HAVRE,12/22/1855
8550,AMAZON,LONDON,12/22/1855
8551,ORPHEUS,BREMEN,12/22/1855
8552,SAINT NICOLAS,HAVRE,12/22/1855
8553,NEW YORK,HAVRE,12/22/1855
8554,GEORGE HURLBUT,ANTWERP,12/22/1855
8555,CONFEDERATION,HAVRE,12/23/1855
8556,ZURICH,HAVRE,12/24/1855
8557,NEBRASKA,BREMEN,12/24/1855
8558,HERMINE,BREMEN,12/24/1855
8559,HOWARD,HAMBURG,12/24/1855
8560,NEW YORK,BREMEN,12/24/1855
8561,STEPHANIE,BREMEN,12/26/1855
8562,VON STEIN,BREMEN,12/26/1855
8563,ELIDA,HAMBURG,12/31/1855
8564,WURSATA,HAVRE,01/03/1856
8565,INO,CIUDAD BOLIVAR,01/05/1856
8566,DORETTE,BREMEN,01/28/1856
8567,REINHARD,BREMEN,02/11/1856
8568,DEUTSCHLAND,HAMBURG,02/12/1856
8569,MERCURY,HAVRE,02/22/1856
8570,SIR ROBERT PEEL,HAMBURG,02/25/1856
8571,REPUBLIC,BREMEN,02/25/1856
8572,PRESIDENT SMIDT,ANTWERP,03/05/1856
8573,CUMBERLAND,HAVRE,03/05/1856
8574,CANROBERT,HAVRE,03/10/1856
8575,ATLANTIC,BREMEN,03/11/1856
8576,ANNE HINKS,PUERTO CABELLO,03/17/1856
8577,SAMUEL M  FOX,HAVRE,03/22/1856
8578,HAVRE,HAVRE,03/24/1856
8579,GERMANIA,HAVRE,03/24/1856
8580,NORTHERN LIGHT,"PUERTO PLATA, DOMINICAN REPUBLIC",03/24/1856
8581,F.A. PALMER,HAVRE,03/24/1856
8582,SWITZERLAND,HAVRE,03/26/1856
8583,UNION,BREMEN,03/27/1856
8584,CLEMENTINE,BREMEN,03/27/1856
8585,DONAU,HAMBURG,03/28/1856
8586,E.Z.,HAVRE,04/01/1856
8587,WILLIAM TELL,HAVRE,04/05/1856
8588,BLUMENTHAL,ANGOSTURA,04/09/1856
8589,PRINCESS ROYAL,BERMUDA,04/14/1856
8590,FLYING CHILDERS,HAVRE,04/16/1856
8591,Q L LANE,HAVRE,04/23/1856
8592,BREWSTER,RIO DE JANEIRO,04/23/1856
8593,NORD AMERICA,HAMBURG,04/28/1856
8594,RALEIGH,HAMBURG,04/28/1856
8595,AGNES,BREMEN,05/02/1856
8596,KOSMOS,BREMEN,05/02/1856
8597,SARATOGA,LIVERPOOL,05/02/1856
8598,WASHINGTON,ANTWERP,05/02/1856
8599,AGNES,LIVERPOOL,05/03/1856
8600,FAIRFIELD,HAVRE,05/03/1856
8601,GUTENBERG,HAMBURG,05/05/1856
8602,HELENE,BREMEN,05/05/1856
8603,EBERHARD,BREMEN,05/06/1856
8604,ELISE,BREMEN,05/07/1856
8605,HERMANN,BREMEN & SOUTHAMPTON,05/09/1856
8606,ORPHEUS,BREMEN,05/12/1856
8607,WIELAND,BREMEN,05/12/1856
8608,GELLERT,HAMBURG,05/12/1856
8609,GERTRUDE,ANTWERP,05/13/1856
8610,INSULANA,HAMBURG,05/14/1856
8611,CONSUL,HAVRE,05/16/1856
8613,ELBE,HAMBURG,05/21/1856
8614,RATTLER,HAVRE,05/21/1856
8615,TICONDEROGA,HAVRE,05/21/1856
8616,JOHANNE WILHELMINE,BREMEN,05/21/1856
8617,ATLAS,ANTWERP,05/22/1856
8618,UNCLE TOBY,HAVRE,05/22/1856
8619,EPAMINONDAS,ROTTERDAM,05/26/1856
8620,ZURICH,HAVRE,06/02/1856
8621,WURSATA,BREMEN,06/02/1856
8622,EMIGRANT,BREMEN,06/02/1856
8623,LOUIS NAPOLEON,HAMBURG,06/03/1856
8624,ROBERT,BREMEN,06/04/1856
8625,RHEIN,HAMBURG,06/05/1856
8626,HENRY REED,ANTWERP,06/06/1856
8627,WASHINGTON,BREMEN & SOUTHAMPTON,06/06/1856
8628,SUWA,HAMBURG,06/06/1856
8629,HEMISPHERE,HAVRE,06/07/1856
8630,BETTY,BREMEN,06/09/1856
8631,GERHARD,HAMBURG,06/09/1856
8632,MISSISSIPPI,BREMEN,06/10/1856
8633,JOHANNA ELISE,HAMBURG,06/10/1856
8634,GEORGE F PATTEN,HAVRE,06/11/1856
8635,DIANA,BREMEN,06/12/1856
8637,TUISKO,BREMEN,06/14/1856
8638,SNAP DRAGON,HAMBURG,04/14/1856
8639,URANIA,ST. CROIX,06/16/1856
8640,C.J. BORGSTEDT,BREMEN,06/17/1856
8641,W S BROWN,PORT AU PRINCE,06/18/1856
8642,DORETTE,BREMEN,06/19/1856
8643,PILGRIM,ANTWERP,06/20/1856
8644,MIDDLESEX,HAVRE,06/23/1856
8645,CONFEDERATION,HAVRE,06/07/1856
8646,BORUSSIA,HAMBURG,06/18/1856
8647,RUDOLPH,HAMBURG,06/23/1856
8648,DEUTSCHLAND,HAMBURG,06/23/1856
8649,FANNY HOLMES,HAMBURG,06/23/1856
8650,ALFRED,BREMEN,06/23/1856
8651,GOSSAMER,BREMEN,06/24/1856
8652,SACSUSA,BREMEN,06/24/1856
8653,JAMES L BOGERT,HAVRE,06/24/1856
8654,OCILLA,HAMBURG,06/24/1856
8655,HERMINE,BREMERHAVEN,06/24/1856
8656,ALBERT,BREMEN,06/25/1856
8657,NORTH STAR,BREMEN & SOUTHAMPTON,06/25/1856
8658,ELIZABETH HAMILTON,HAVRE,06/26/1856
8659,CATHARINE,ANTWERP,06/26/1856
8660,VANCLUSE,HAVRE,06/30/1856
8661,SOUTHAMPTON,LONDON,07/02/1856
8662,NEW YORK,BREMEN,07/03/1856
8663,MERCURY,HAVRE,07/05/1856
8664,VON STEIN,BREMEN,07/07/1856
8665,MILTON,ANTWERP,07/08/1856
8666,PANAMA,BREMERHAVEN,07/09/1856
8667,HOWARD,HAMBURG,07/09/1856
8668,REPUBLIC,BREMEN,07/10/1856
8669,NEW YORK,HAVRE,07/11/1856
8670,TERESA,BREMEN,07/11/1856
8671,ANN WASHBURN,HAMBURG,07/12/1856
8672,JOHANN,HAMBURG,07/14/1856
8673,ADMIRAL,HAVRE,07/14/1856
8674,STUDLAND,BREMEN,07/14/1856
8675,ELIDA,HAMBURG,07/03/1856
8676,PYRAMID,ANTWERP,07/16/1856
8677,MARY OGDEN,HAVRE,07/18/1856
8678,HAMMONIA,HAMBURG,07/19/1856
8679,HUMBOLDT,HAMBURG,07/21/1856
8680,AMARANTH,BREMEN,07/22/1856
8681,HAVRE,HAVRE,07/26/1856
8682,ADMIRAL,HAVRE,02/28/1856
8683,R JACOBS,BREMEN,07/30/1856
8684,LOUISIANA,BREMEN,07/31/1856
8685,CYNOSURE,HAVRE,08/01/1856
8686,DONAU,HAMBURG,08/02/1856
8687,GUTENBERG,HAMBURG,08/02/1856
8688,CORNELIS ERWIN,LIVERPOOL,08/02/1856
8689,SIR ROBERT PEEL,HAMBURG,08/04/1856
8690,CLARA,ANTWERP,08/05/1856
8691,ATLANTIC,BREMERHAVEN,08/09/1856
8692,ANGELA BREMEN,GOTHENBURG,08/09/1856
8693,E.Z.,LIVERPOOL,08/11/1856
8694,TOULON,HAVRE,08/12/1856
8695,BORUSSIA,HAMBURG,08/16/1856
8696,ETNA,HAVRE,08/18/1856
8697,R L GILLCHREST,HAVRE,08/18/1856
8698,NORD AMERICA,HAMBURG,08/19/1856
8699,SHAKESPEARE,BREMEN,08/20/1856
8700,GUSTAV,BREMEN,08/20/1856
8701,UNION,BREMEN,08/21/1856
8702,FRANKLIN,HAMBURG,08/22/1856
8703,GALENA,HAVRE,08/22/1856
8704,SHERIDAN,ANTWERP,08/21/1856
8705,ORPHEUS,BREMEN,08/23/1856
8706,THERESE,BREMEN,08/25/1856
8707,ALICE TAINTER,ANTWERP,08/25/1856
8708,IPPLAND,BREMEN,08/25/1856
8709,J AHLERS,BREMEN,08/25/1856
8710,KOSMOS,UNKNOWN,08/25/1856
8711,HERMANN,BREMEN & SOUTHAMPTON,08/28/1856
8712,YORKTOWN,LONDON,08/30/1856
8713,ODER,HAMBURG,08/21/1856
8714,GERMANIA,HAVRE,09/05/1856
8715,GRAHAMS POLLY,ANTWERP,09/06/1856
8716,WILBUR KING,HAVRE,09/16/1856
8717,SAINT NICOLAS,HAVRE,09/12/1856
8718,HELVETIA,HAVRE,09/13/1856
8719,R.D. SHEPHERD,HAVRE,09/15/1856
8720,HAMMONIA,HAMBURG,09/16/1856
8721,DEVONSHIRE,LONDON,09/17/1856
8722,OHIO,BREMEN,09/18/1856
8723,LOUIS NAPOLEON,HAMBURG,09/22/1856
8724,PEOLUS,BREMEN,09/22/1856
8725,RHEIN,HAMBURG,09/22/1856
8726,JANE E. WILLIAMS,HAVRE,09/23/1856
8727,BAVARIA,HAVRE,09/23/1856
8728,CLIO,BREMEN,09/23/1856
8729,EMMA,HAVRE,09/24/1856
8730,AGNES,BREMERHAVEN,09/27/1856
8731,HELENE,BREMEN,09/29/1856
8732,ELISE,BREMEN,09/29/1856
8733,ELIDA,HAMBURG,09/29/1856
8734,RICHARD MORSE,ANTWERP,09/29/1856
8735,META,BREMEN,09/29/1856
8736,BERTHA,NEWCASTLE,09/30/1856
8737,JOHANNA,BREMEN,09/30/1856
8738,CHACE,HAVRE,09/30/1856
8739,ELBE,HAMBURG,09/30/1856
8740,RALEIGH,HAMBURG,09/30/1856
8741,WURSATA,BREMEN,09/30/1856
8742,WILLIAM B TRAVIS,HAMBURG,10/01/1856
8743,ZURICH,HAVRE,10/02/1856
8744,WIELAND,BREMEN,10/02/1856
8745,METEOR,BREMEN,10/06/1856
